Categories,close,%Change,EMA50,lagged EMA50,RSI,RSI-based MA,RSI-RSIMA,ATR,ADX,MACD,RP,RHODL,RR,MVRV-Z,SupplyP,MinerFeeRev%,Thermocap,AA,AVGFees,Puell,INVCAP,ASOPR,AccuTrend,NUPL,BTCINFLATION,Liveliness,NVT,CVDD,SP500,NASDAQ,POSNEG
4,7684.93,0.39%,8118.451,8136.145,45.69264,39.17187,6.52077,327.7007,30.34272,-216.822,5299.155,9229.439,0.00562,0.91542,10906776,1.14E-02,7.79E+09,634092,9.96E-05,0.941104,8.27E+10,0.993882,0.072896,0.309796,0.038933,0.605641,22.38564,2515.143,2770.37,7635.07,1
4,6881,1.63%,7979.232,8024.057,33.11968,40.55436,-7.43468,339.1271,34.61524,-277.803,5271.267,9118.307,0.004877,0.61433,9841377,1.39E-02,7.84E+09,587718,0.000116,0.807915,8.22E+10,0.939166,0.079461,0.236811,0.038085,0.605092,16.98918,2518.559,2782,7659.926,1
4,6484.29,1.46%,7705.987,7755.852,34.29069,37.567,-3.27631,349.515,42.84408,-414.72,5235.577,7874.587,0.004598,0.499642,9592257,7.86E-03,7.90E+09,442336,0.000103,0.912186,8.16E+10,0.980865,0,0.200223,0.04529,0.604359,50.05793,2521.511,#N/A,#N/A,1
4,6709.02,4.06%,7619.46,7656.621,40.17286,36.73506,3.437798,340.9658,43.50276,-394.116,5228.934,7217.366,0.004603,0.576373,9932065,8.48E-03,7.93E+09,574863,8.93E-05,0.905643,8.15E+10,0.972842,0.031337,0.223594,0.044722,0.603923,33.50121,2522.073,2773.75,7747.023,1
4,6736.41,0.41%,7584.831,7619.46,40.81371,36.5154,4.298302,327.9718,43.02696,-369.081,5226.786,7092.768,0.004717,0.586787,10034528,4.15E-02,7.94E+09,621660,0.000437,0.878775,8.15E+10,0.985901,0.055667,0.227526,0.042212,0.603716,32.74892,2522.2,2762.59,7725.586,1
4,6756.1,0.29%,7552.332,7584.831,41.30048,36.25623,5.044258,323.0696,42.86278,-343.69,5223.787,6282.179,0.004673,0.595316,10081107,9.50E-02,7.95E+09,584946,0.001023,0.871378,8.14E+10,0.978312,0.049974,0.229136,0.042207,0.60352,32.81141,2522.659,2767.32,7781.516,1
4,6178.29,1.96%,7412.047,7462.404,33.96786,34.39854,-0.43067,333.4278,45.09853,-367.425,5210.614,6144.452,0.004233,0.365582,9363678,1.57E-02,7.99E+09,483219,0.000196,0.820968,8.12E+10,0.963463,0,0.154657,0.043582,0.603233,42.24081,2527.015,#N/A,#N/A,1
4,6246,1.56%,7318.768,7362.554,36.2071,34.86931,1.337796,338.5307,47.34302,-368.843,5201.148,6014.415,0.004257,0.404823,9487600,1.74E-02,8.02E+09,614024,0.000173,0.81218,8.10E+10,0.978007,0.034793,0.168213,0.042737,0.60289,28.02944,2528.48,2717.07,7532.008,1
4,6132.17,0.94%,7225.37,7269.991,35.29913,35.83448,-0.53535,323.1521,49.06694,-368.383,5152.336,6406.61,0.004162,0.382713,9503709,2.08E-02,8.04E+09,589272,0.000171,0.614648,8.02E+10,0.798125,0.158942,0.16319,0.032773,0.602634,26.62071,2532.637,2699.63,7445.086,1
4,6383.19,2.92%,7104.07,7133.494,44.61665,36.90491,7.71174,337.7383,49.21362,-326.082,5139.937,5924.863,0.004302,0.489543,9910892,1.32E-02,8.07E+09,567354,0.00013,0.744671,7.99E+10,0.999997,0.122784,0.197732,0.038279,0.60249,40.219,2534.387,#N/A,#N/A,1
4,6611.79,4.13%,7056.334,7074.479,49.79437,38.32017,11.4742,330.8848,46.21422,-250.758,5127.899,6686.603,0.004328,0.568203,10323619,1.31E-02,8.10E+09,638224,0.000118,0.751615,7.97E+10,0.99926,0.293113,0.222646,0.038271,0.602355,27.76268,2537.815,2726.71,7567.688,1
4,6587.47,1.30%,7017.085,7034.62,49.46236,39.38706,10.07531,326.6732,41.94899,-186.632,5127.269,6626.032,0.004388,0.561434,10257353,1.27E-02,8.12E+09,609463,0.000104,0.729307,7.97E+10,1.004085,0.384392,0.223105,0.03633,0.602192,32.15376,2540.028,#N/A,#N/A,1
4,6600,1.03%,6982.487,6998.099,49.87115,41.28729,8.583858,311.63,37.75571,-136.763,5121.408,6801.226,0.004376,0.58728,10515751,1.07E-02,8.14E+09,647671,0.000108,0.871845,7.96E+10,0.971519,0.378884,0.232205,0.043521,0.601942,29.07637,2541.225,2759.82,7688.387,1
4,6753.28,2.32%,6973.499,6982.487,53.42448,42.67705,10.74743,313.0321,35.18776,-102.648,5120.747,6645.127,0.00437,0.661805,10930343,8.43E-03,8.15E+09,473890,9.75E-05,0.850236,7.96E+10,0.991705,0.310407,0.25323,0.042405,0.601762,48.23269,2541.316,#N/A,#N/A,1
4,6390.04,1.37%,6904.734,6925.742,44.95966,46.39022,-1.43056,285.6793,29.19401,-81.4645,5107.453,5663.17,0.004154,0.488786,9845703,1.20E-02,8.20E+09,616206,0.000101,0.705138,7.94E+10,0.966853,0.299719,0.201644,0.036578,0.601194,28.96433,2544.779,2774.02,7716.613,1
4,6248.65,0.52%,6829.356,6853.058,42.25349,47.04145,-4.78797,272.0608,29.39146,-112.709,5093.877,5133.62,0.004027,0.448568,9706107,8.95E-03,8.24E+09,809614,8.51E-05,0.677571,7.91E+10,0.981108,0.126113,0.188278,0.036016,0.600838,35.60374,2546.385,#N/A,#N/A,1
4,6348.73,1.60%,6810.508,6829.356,45.40403,47.14154,-1.73751,263.4914,29.05003,-107.9,5093.631,4958.907,0.004064,0.483645,9801637,9.11E-03,8.25E+09,509919,9.49E-05,0.685506,7.91E+10,0.995687,0.063121,0.198736,0.036012,0.600679,32.72646,2546.536,#N/A,#N/A,1
4,7378.99,0.87%,6848.852,6827.214,66.65527,50.06427,16.591,315.8266,28.1447,66.71397,5101.268,5511.338,0.0047,0.860326,11460911,1.44E-02,8.29E+09,770646,0.000133,1.043407,7.92E+10,1.018516,0.272458,0.308254,0.047356,0.600271,23.8753,2549.578,2815.62,7854.445,1
4,7470.01,1.23%,6873.211,6848.852,67.96124,51.47093,16.49031,314.6662,28.71655,123.3863,5104.568,5710.979,0.004678,0.894922,11694361,1.33E-02,8.30E+09,636735,0.000128,1.020974,7.93E+10,1.016783,0.318751,0.316418,0.046515,0.600142,26.89223,2551.044,2804.49,7825.297,1
4,7408,1.00%,6911.562,6891.299,65.14812,53.31358,11.83454,316.8316,29.91379,184.8761,5107.958,5825.002,0.004625,0.873477,11516012,1.00E-02,8.33E+09,505453,9.41E-05,0.810864,7.93E+10,1.010677,0.285711,0.311417,0.03709,0.599826,40.14121,2553.564,#N/A,#N/A,1
4,7720.09,4.36%,6961.589,6930.63,69.90517,55.56769,14.33748,320.0006,31.76078,243.9937,5114.302,5948.563,0.00479,0.981211,12059989,1.24E-02,8.36E+09,711244,0.000114,1.022768,7.94E+10,1.022695,0.282913,0.336912,0.045103,0.59955,26.6214,2555.772,2806.98,7841.871,1
4,8184.21,3.18%,7138.902,7096.236,68.23658,63.4764,4.760178,375.1495,37.11564,400.6892,5132.344,6266.704,0.004934,1.142231,12418949,9.83E-03,8.43E+09,717386,9.04E-05,1.069861,7.97E+10,1.009079,0.322245,0.371782,0.045359,0.598924,30.0346,2560.265,2818.82,7737.418,1
4,8228.9,0.55%,7181.647,7138.902,68.76406,65.37001,3.394044,360.1388,37.60685,418.4468,5135.141,6144.504,0.00501,1.148653,12546809,9.16E-03,8.44E+09,564042,8.90E-05,0.942327,7.98E+10,1.019594,0.249595,0.373582,0.039264,0.598739,40.86788,2560.76,#N/A,#N/A,1
4,7030.01,0.36%,7282.496,7292.802,42.14619,60.66445,-18.5183,350.0838,28.10071,108.6895,5128.794,3830.411,0.004185,0.724666,10694770,6.77E-03,8.56E+09,495708,7.92E-05,0.881586,7.96E+10,0.975688,0,0.274008,0.043372,0.597447,35.1081,2567.769,#N/A,#N/A,1
4,6546.45,4.20%,7183.545,7209.549,37.51576,50.86216,-13.3464,382.0048,28.6484,-129.562,5104.755,3084.772,0.00378,0.550954,10050483,1.10E-02,8.61E+09,629818,9.34E-05,0.74779,7.92E+10,0.950301,0.096182,0.222855,0.040313,0.59692,23.5695,2572.507,2853.58,7891.781,1
